"","SampleID","ForkLength","TotalBodyWeight","Month","Year","Region","IBMR","tot_samp","propdiet"
"1","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","acartela",0,0
"2","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","allcopnaup",37.1,0.261212419911286
"3","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","daphnia",0,0
"4","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","eurytem",0,0
"5","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","limno",0.91,0.00640709709216363
"6","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","othcalad",15,0.10561149053017
"7","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","othcaljuv",0,0
"8","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","othclad",0,0
"9","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","othcyc",0,0
"10","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","other",5.28,0.0371752446666197
"11","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","pdiapfor",58.52,0.412025628388369
"12","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","pdiapjuv",18.4,0.129550095050341
"13","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","sino",6.82,0.0480180243610505
"14","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","amphipod",0,0
"15","FLaSH 44 STN 2011-08-23 797 1487",52,0.9798,8,2011,"Middle","mysids",0,0
"16","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","acartela",0,0
"17","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","allcopnaup",7.24,0.0815774647887324
"18","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","daphnia",0,0
"19","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","eurytem",0,0
"20","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","limno",0.39,0.0043943661971831
"21","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","othcalad",30,0.338028169014085
"22","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","othcaljuv",0,0
"23","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","othclad",2,0.0225352112676056
"24","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","othcyc",6.56,0.0739154929577465
"25","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","other",11,0.123943661971831
"26","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","pdiapfor",29.26,0.32969014084507
"27","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","pdiapjuv",2.3,0.0259154929577465
"28","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","sino",0,0
"29","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","amphipod",0,0
"30","FLaSH 48 STN 2011-08-23 797 1484",38,0.3698,8,2011,"Middle","mysids",0,0
"31","FLaSH 51 STN 2011-08-23 797 1486",46,0.7189,8,2011,"Middle","acartela",0,0
"32","FLaSH 51 STN 2011-08-23 797 1486",46,0.7189,8,2011,"Middle","allcopnaup",1.1,0.0156941075759738
"33","FLaSH 51 STN 2011-08-23 797 1486",46,0.7189,8,2011,"Middle","daphnia",0,0
